airline.name,departure.airport,arrival.airport,day_of_week,month,departure_hour,scheduled_duration,is_delayed
130,35,85,3,4,7,85.0,0
86,35,85,3,4,7,85.0,0
85,35,85,3,4,7,85.0,0
77,35,85,3,4,7,85.0,0
8,35,85,3,4,7,85.0,0
167,58,37,3,4,15,55.0,0
116,204,59,3,4,15,110.0,0
165,385,213,3,4,8,55.0,0
19,73,294,3,4,13,155.0,0
203,73,294,3,4,13,155.0,0
67,73,294,3,4,13,155.0,0
181,73,294,3,4,13,155.0,0
19,371,126,3,4,15,135.0,0
182,371,126,3,4,14,125.0,0
84,105,306,3,4,0,60.0,0
37,403,225,3,4,16,95.0,0
65,403,225,3,4,16,95.0,0
23,403,225,3,4,16,95.0,0
83,403,225,3,4,16,95.0,0
37,403,225,3,4,16,95.0,0
83,403,225,3,4,16,95.0,0
23,403,225,3,4,16,95.0,0
111,403,225,3,4,16,95.0,0
183,403,225,3,4,16,95.0,1
66,403,37,3,4,16,95.0,1
65,403,37,3,4,16,95.0,1
23,403,37,3,4,16,95.0,1
213,333,55,3,4,13,130.0,0
202,106,55,3,4,13,75.0,0
138,61,363,3,4,15,57.0,1
167,61,378,3,4,16,90.0,0
221,234,205,3,4,8,110.0,0
116,188,59,3,4,15,105.0,0
208,134,52,3,4,8,75.0,0
183,134,52,3,4,8,75.0,0
208,134,98,3,4,8,55.0,0
201,134,98,3,4,8,55.0,0
183,134,98,3,4,8,55.0,0
123,137,61,3,4,15,85.0,0
88,241,116,3,4,0,199.0,0
66,73,102,3,4,13,165.0,0
222,73,102,3,4,13,165.0,0
140,73,102,3,4,13,165.0,0
208,168,97,3,4,7,155.0,0
74,168,97,3,4,7,155.0,0
34,168,97,3,4,7,155.0,0
1,168,97,3,4,7,155.0,0
208,168,98,3,4,7,175.0,0
34,168,98,3,4,7,175.0,0
1,168,98,3,4,7,175.0,0
14,70,313,3,4,8,85.0,0
66,70,313,3,4,8,85.0,0
129,70,313,3,4,8,85.0,0
128,70,313,3,4,8,85.0,0
97,70,313,3,4,8,85.0,0
77,70,313,3,4,8,85.0,0
65,70,313,3,4,8,85.0,0
8,70,313,3,4,8,85.0,0
155,401,179,3,4,14,65.0,1
214,401,179,3,4,14,65.0,1
206,401,179,3,4,14,65.0,1
166,401,179,3,4,13,65.0,0
99,401,179,3,4,13,65.0,0
86,401,179,3,4,13,65.0,0
65,401,179,3,4,13,65.0,0
78,401,179,3,4,13,65.0,0
208,135,97,3,4,9,60.0,0
17,135,97,3,4,9,60.0,0
208,135,39,3,4,8,85.0,0
183,135,39,3,4,8,85.0,0
34,135,39,3,4,8,85.0,0
141,135,39,3,4,8,85.0,0
167,268,48,3,4,17,70.0,0
167,403,48,3,4,15,55.0,1
167,63,344,3,4,16,60.0,0
115,454,147,3,4,14,95.0,0
216,221,328,3,4,14,75.0,0
175,221,328,3,4,14,75.0,0
23,221,328,3,4,14,75.0,0
146,221,328,3,4,14,75.0,0
21,221,328,3,4,14,75.0,0
105,319,247,3,4,15,50.0,0
203,368,294,3,4,15,100.0,0
67,368,294,3,4,15,100.0,0
19,368,294,3,4,15,100.0,0
181,368,294,3,4,15,100.0,0
116,17,125,3,4,15,85.0,0
116,228,125,3,4,14,110.0,0
116,14,125,3,4,14,125.0,0
116,158,125,3,4,14,90.0,0
117,217,125,3,4,14,75.0,0
116,202,125,3,4,14,105.0,0
201,365,98,3,4,8,85.0,0
34,365,98,3,4,8,85.0,0
17,365,98,3,4,8,85.0,0
1,365,98,3,4,8,85.0,0
111,365,52,3,4,8,80.0,0
214,365,52,3,4,8,80.0,0
22,365,52,3,4,8,80.0,0
129,365,52,3,4,8,80.0,0
97,365,52,3,4,8,80.0,0
77,365,52,3,4,8,80.0,0
66,365,85,3,4,8,130.0,0
130,365,85,3,4,8,130.0,0
97,365,85,3,4,8,130.0,0
77,365,85,3,4,8,130.0,0
208,365,97,3,4,8,70.0,0
17,365,97,3,4,8,70.0,0
94,230,13,3,4,11,155.0,0
94,373,13,3,4,12,80.0,0
227,147,133,3,4,0,162.0,0
58,196,139,3,4,2,47.0,0
202,106,56,3,4,12,85.0,0
116,79,136,3,4,15,125.0,0
87,386,393,3,4,8,115.0,0
71,134,393,3,4,8,50.0,0
197,257,127,3,4,8,145.0,0
68,73,126,3,4,12,150.0,0
102,73,126,3,4,12,150.0,0
182,73,126,3,4,12,150.0,0
127,73,126,3,4,12,150.0,0
67,73,126,3,4,12,150.0,0
119,170,99,3,4,9,30.0,0
208,465,98,3,4,9,60.0,0
183,465,98,3,4,9,60.0,0
141,465,98,3,4,9,60.0,0
208,465,97,3,4,9,65.0,0
34,465,97,3,4,9,65.0,0
194,465,97,3,4,9,65.0,0
17,465,97,3,4,9,65.0,0
203,451,151,3,4,14,130.0,0
